Product,Price,Rating
Pomerol 2011,95,4.2
Lirac 2017,15.50,4.3
Erta e China Rosso di Toscana 2015,7.45,3.9
Bardolino 2019,8.72,3.5
Ried Scheibner Pinot Noir 2016,29.15,3.9
Gigondas (Nobles Terrasses) 2017,19.90,3.7
Marion's Vineyard Pinot Noir 2016,43.87,4.0
Red Blend 2014,17.52,3.9
Chianti 2015,10.75,3.6
Tradition 2014,6.90,3.5
Chianti Riserva 2013,20.95,3.9
Descendant 2016,140.64,4.3
Les Obriers de la Peira Terrasses du Larzac 2017,14.52,4.1
Zenas Primitivo 2018,9.26,3.6
Cuvée Confidence Côtes du Rhône Rouge 2017,8.49,3.7
Shiraz 2018,6.50,3.2
Proprietor's Blend 2016,29.09,4.2
La Bienquerida 2016,41.58,4.3
Cabernet Sauvignon 2015,7.95,3.8
Fulgeo Negroamaro Salento 2016,12.90,4.0
Contraste Tinto 2015,9.90,3.4
Steiner 2013,24.50,3.7
Old Vines Primitivo 2015,38.70,4.2
Virtus Tannat 2013,6.77,2.9
Kallista 2015,26.25,4.3
Badia a Passignano Gran Selezione Chianti Classico 2016,39.90,4.2
Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2012,174.49,4.4
Carlo V Il Rosso dell'Imperatore 2013,15.90,3.7
Pinot Noir 2016,15.98,3.6
Marquis de Calon Saint-Estèphe 2015,43.28,3.9
Hécula Monastrell 2017,8.83,3.3
Berola 2015,14.52,3.9
Saint-Julien (Grand Cru Classé) 2010,189,4.4
Pinot Noir Bourgogne 2017,15.90,3.7
Vigna del Noce Barbera d'Asti 2007,76.90,4.1
I Tratturi Rosso 2017,7.04,3.8
Château Pilet Bordeaux 2017,6.50,3.6
Sancerre Rouge 2015,37.34,4.2
Shiraz 2016,8.67,3.5
Ro-Rée Saint-Joseph 2018,24.37,4.2
Cabernet Sauvignon 2015,16.50,4.0
Cuvée Alienor Fronsac 2015,16.47,3.7
Sabbie di Sopra al Bosco 2014,31.96,3.8
Roma Rosso 2018,9.95,4.0
Garnacha de Arrayán 2014,21.90,3.7
Cabernet Sauvignon 2018,7.60,3.3
Terrenus Vinhas Velhas Reserva 2013,27.95,4.1
Fronsac 2005,25.95,3.8
Cuvée Charles de Batz Madiran 2014,14.09,3.7
Stony Terrace Cabernet Sauvignon 2016,18.03,3.8
12 e Mezzo Puglia Primitivo Organic Wine 2016,9.40,3.9
El Abuelo Selección Edición Limitada 2013,10.95,4.2
Sangre de Toro Special Selection 2017,8.90,3.6
Château Paul Mas Coteaux du Languedoc Clos des Mures 2018,11.05,3.8
Merlot 2018,5.36,3.6
Roscaleto Barbera d'Alba 2015,31.18,3.9
Barolo Cannubi 2014,39.90,4.0
Pauillac (Premier Grand Cru Classé) 2017,633.62,4.6
Cabernet Sauvignon 2014,8.29,3.3
Côte-Rôtie Le Gallet Blanc 2017,48,4.4
Capatosta 2015,19.90,3.8
Constance Madiran 2015,9.50,3.8
Oak Cask Malbec 2019,7.36,3.7
Amancaya Malbec - Cabernet Sauvignon 2017,16.80,4.0
Laccento Ruché di Castagnole Monferrato 2017,19.90,4.0
San Leonardo 2011,48.64,4.3
Fausto Tannat 2015,11.35,3.6
Pauillac (Grand Cru Classé) 2007,119,4.4
Disciples 2016,53.61,4.3
Zinfandel 2015,16.75,3.6
Margaux 2010,40.95,4.0
La Luna e i Falò Barbera d'Asti Superiore 2015,11.49,3.8
Ribera del Duero 2015,38.80,4.2
Les Jardins Rouge 2018,7.95,3.8
Nero d'Avola - Syrah 2018,4.75,3.7
La Bienquerida 2013,35.97,4.1
Bonera 2018,9.50,3.7
Noi 4 Bolgheri 2016,23.50,4.0
Pinot Noir 2016,27.78,3.9
Saint-Émilion Grand Cru 2005,39.95,3.9
Gran Selección Tempranillo 2017,6.75,3.4
Syrah 2017,18.25,3.9
Zweigelt 2017,10.60,3.9
Saint-Émilion Grand Cru 2015,23.09,4.1
Listán Negro 2017,17.95,3.6
Viile Metamorfosis Merlot 2015,7.50,3.5
Merlot - Cabernet Sauvignon - Petit Verdot 2014,12.48,3.9
RWT Shiraz 2017,229,4.4
Fronton 2018,6.95,3.5
Costers Del Gravet Montsant 2013,13.95,3.7
Merlot 2018,7.90,3.4
Pinot Noir 2015,33.05,3.7
Coume de l'Olla Rouge 2019,16.96,4.1
Schwarzer 2017,13.15,3.6
Haut-Médoc 2015,17.36,3.8
Bourgogne Pinot Noir (La Vignée) 2015,17.59,3.6
Pinot Noir 2017,49.09,4.2
Zinfandel 2016,10.90,3.7
Valpolicella Ripasso Classico Superiore 2017,15.50,3.7
Rosso di Montalcino 2015,26.50,3.9
Ripanço Private Selection Alentejano 2016,8.60,3.7
Riserva Cannonau di Sardegna 2017,10.66,3.8
60 Sessantanni Old Vines Primitivo di Manduria 2016,17.24,4.4
Kith & Kin Cabernet Sauvignon 2017,38.50,4.2
Zinfandel 2017,34.12,4.3
Cerro Añon Rioja Gran Reserva 2011,14.65,4.1
Bush Vine GSM (Shiraz - Grenache - Mourvedre) 2013,14.57,4.0
Plaer Vinyes Velles 2016,26.18,4.1
Cabernet - Shiraz 2016,3.95,3.4
Saint-Émilion Grand Cru 2014,26.90,3.9
Comte de Sénéjac Haut-Médoc 2011,16.83,3.7
Gran Masetto Teroldego 2014,39.90,4.4
Barolo Mariondino 2015,39.90,4.1
Crianza 2016,9.90,3.6
Apogee Pepper Bridge Vineyard 2013,46.90,4.1
Gamma Red Blend 2018,6.15,3.4
Peyres Nobles Rouge 2018,6.50,4.0
Lemartine Toscana 2015,29.67,4.1
Organic Cabernet 2018,7.79,3.7
Pomerol 1999,240,4.1
Malterdinger Alte Reben Spätburgunder 2016,38.69,4.1
Cabernet Franc 2012,59.95,4.2
Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2002,193.02,4.4
Bramare Rebon Vineyard Malbec 2017,75.07,4.6
Merlot Reserva 2008,15.90,3.2
Brunello di Montalcino Pianrosso 2015,66.29,4.4
François de Tournon Saint-Joseph 2016,29.15,3.9
Estibals Minervois 2018,10.99,3.6
Barbera - Garnacha 2017,12.62,3.5
Roi des Lézards 2014,19.40,3.9
One Point Five Cabernet Sauvignon 2016,120.01,4.5
Barbaresco 2013,199.90,4.4
Saint-Julien (Grand Cru Classé) 2006,59.54,3.9
Médoc 2012,39.69,3.8
Pieve Santa Restituta Brunello di Montalcino 2014,59.90,4.3
Gran Maestro Primitivo di Manduria 2017,9.75,4.1
Saint-Julien (Grand Cru Classé) 2011,87.24,4.2
Inferno (Aged in Whiskey Barrels - Limited Release) 2017,14.56,3.8
Pessac-Léognan (Grand Cru Classé de Graves) 2007,161.10,4.3
Faithful Hound Red 2015,14.90,4.0
Serego Alighieri Vaio Armaron Amarone della Valpolicella Classico 2012,69,4.3
Rosso di Montalcino 2018,14.43,3.7
Chianti 2017,8.90,3.7
Azul 2015,6.99,3.8
Sanct Valentin Riserva Pinot Noir 2017,33.20,4.1
Mas Collet Barrica 2009,21.91,3.5
Valpolicella Ripasso Classico Superiore 2016,16.90,4.0
Toscana Poggio Ai Merli 2016,69,4.3
Viña Aljibes Red Blend 2016,8.20,3.4
Châteauneuf-du-Pape (La Crau) 2017,79.95,4.4
Châteauneuf-Du-Pape La Paillousse Terroir D'Exception Rouge 2015,26.23,4.0
Mencia 2015,8.28,3.2
Santenay Clos de Malte 2016,32,4.1
Sudisfà Roero Riserva 2015,29.90,4.1
Léa Les Aspres Côtes du Roussillon Rouge 2012,19.95,4.0
Alleanza 2012,26.95,4.1
Valpolicella Ripasso Classico Superiore Solane 2015,14.75,3.7
Crianza 2015,11.95,3.8
