Name,Price,Rating
Vermentino 2017,5.65,3.8
Ronco Broilo 2010,44.9,4.3
Weisser Schiefer s 2017,33.25,4.2
Chardonnay 2018,8.99,3.9
Maganza Zibibbo 2018,8.6,3.9
Chardonnay 2019,15.9,3.7
Goldloch Riesling GG 2016,33.9,4.1
Kieselberg GG 2015,33.95,4.1
Catarratto 2019,5.0,3.8
Safari Pecorino 2017,6.74,3.4
Sauvignon Veneto 2019,6.77,3.8
Berg Riesling 2018,15.9,4.2
Grechetto 2018,8.9,3.6
Riesling 'Le Gallais' Wiltinger Braune Kupp Kabinett 2018,38.94,4.3
Unterebner Pinot Grigio 2018,20.37,3.7
The Guv'nor Blanco 2019,6.89,3.7
Oestricher Muschelkalk Riesling Trocken 2018,10.4,3.8
Mâcon-Prissé 2014,25.92,3.7
Kallstadter Steinacker Riesling 2015,19.0,4.0
Kerner Carned 2018,16.17,3.7
Fehérburgundi 2017,11.02,3.9
Grauburgunder - Weissburgunder 2019,7.05,3.4
Weisser Burgunder Trocken 2013,10.63,3.9
Ruppertsberg Riesling 2017,19.87,3.7
Weissburgunder Trocken 2017,10.72,3.9
Deep Blue 2018,10.9,3.5
Gewürztraminer - Riesling Trocken 2017,10.9,3.9
Veneto Bianco 2017,5.42,2.7
Kalk & Stein 2017,16.7,4.1
Schlossberg 2017,27.78,3.9
Schick und Schön 2018,10.9,3.7
R Chardonnay Nature 2018,15.4,3.7
Johannisberg Riesling Alte Reben Trocken 2018,11.9,3.8
Live Wire Riesling 2019,11.95,3.5
Alejairén Airen 2017,18.42,3.6
Pinot Gris 2016,21.44,4.1
Muscadet Sèvre-et-Maine Sur Lie 2017,14.38,3.9
W Riesling 2016,31.68,3.4
Ried Schafflerberg Grüner Veltliner 2018,12.07,3.9
Westhofener Weisser Burgunder - Chardonnay Trocken 2017,18.53,4.1
Schiefer Riesling Trocken 2018,14.11,3.6
Castel Firmian Pinot Grigio Riserva 2018,9.37,4.0
Grauer Burgunder Trocken 2016,17.79,3.8
Chenin Blanc 2018,6.54,3.6
Côte de Rouffach Pinot Gris 2017,15.5,4.1
Chardonnay Kalkstein Trocken 2018,11.5,3.9
La Trucha Albariño 2019,14.7,4.3
Schlossberg Achkarren Grauburgunder GG 2016,28.0,4.0
Frühtau Riesling Trocken 2018,17.5,3.9
Pouilly-Vinzelles En Paradis 2018,15.98,3.8
Sauvignon Blanc 2019,7.36,4.1
Weissburgunder Trocken 2018,15.5,3.8
Pinot Grigio 2019,5.5,3.5
Sauvignon Blanc Reserva 2018,7.36,3.5
Villa Blanche Sauvignon Blanc 2018,7.4,3.4
Greco di Tufo 2018,23.65,4.0
Spring Fever Chardonnay 2018,11.95,3.6
Collemare Marche Bianco 2016,10.95,3.9
